"HypocotylValues.Well" "HypocotylValues.Value" "RootValues.Value"
"1" "100" 2.632 1.234
"2" "100" 3.258 0.802
"3" "100" 2.48 1.102
"4" "100" 2.238 0.747
"5" "100" 1.9 0.436
"6" "100" 2.922 1.229
"7" "100" 2.436 0.95
"8" "100" 1.909 0.766
"9" "100" 2.175 1.199
"10" "100" 2.228 0.886
"11" "100" 3.123 0.908
"12" "100" 2.981 1.079
"13" "75" 2.176 0.507
"14" "75" 2.398 0.421
"15" "75" 3.017 0.996
"16" "75" 2.072 0.875
"17" "75" 2.077 0.473
"18" "75" 2.538 0.843
"19" "75" 2.432 1.378
"20" "75" 2.396 0.543
"21" "75" 0.634 0.753
"22" "75" 1.321 0.686
"23" "75" 1.165 0.563
"24" "50" 3.992 1.002
"25" "50" 4.321 2.391
"26" "50" 4.332 2.263
"27" "50" 3.662 1.934
"28" "50" 4.355 1.578
"29" "50" 4.404 2.349
"30" "50" 4.101 0.943
"31" "50" 3.863 1.782
"32" "50" 3.836 2.033
"33" "50" 4.842 1.648
"34" "50" 3.534 0.983
"35" "50" 3.891 1.629
"36" "25" 7.349 2.941
"37" "25" 5.879 2.251
"38" "25" 6.514 2.304
"39" "25" 6.11 2.158
"40" "25" 8.483 2.053
"41" "25" 6.762 2.656
"42" "25" 5.899 3.6
"43" "25" 5.119 3.568
"44" "25" 5.573 3.014
"45" "25" 4.767 2.809
"46" "5" 9.919 4.642
"47" "5" 8.849 4.437
"48" "5" 7.754 4.196
"49" "5" 7.605 4.431
"50" "5" 8.821 3.759
"51" "5" 6.429 4.553
"52" "5" 9.188 4.616
"53" "5" 9.443 4.489
"54" "5" 9.496 6.338
"55" "1" 9.94 6.391
"56" "1" 8.32 3.115
"57" "1" 8.118 3.289
"58" "1" 9.061 3.291
"59" "1" 8.53 5.219
"60" "1" 7.619 2.719
"61" "1" 8.328 4.388
"62" "1" 7.854 3.912
"63" "1" 7.1 4.692
"64" "1" 7.146 3.002
"65" "0" 8.102 4.801
"66" "0" 8.802 4.694
"67" "0" 8.617 4.749
"68" "0" 8.478 4.565
"69" "0" 10.886 4.381
"70" "0" 6.392 4.06
"71" "0" 7.717 2.099
"72" "0" 5.265 3.992
"73" "0" 10.571 4.036
"74" "0" 9.718 3.361
"75" "0" 6.376 6.956
"76" "0" 2.673 2.956
"77" "0" 7.018 4.797
"78" "0" 7.549 5.166
"79" "0" 11.211 4.185
"80" "0" 8.11 4.169
"81" "0" 8.994 4.799
"82" "0" 7.875 4.272
"83" "0" 6.749 3.161
"84" "0" 8.75 2.908
"85" "0" 7.954 3.509
"86" "0" 8.437 4.454
"87" "0" 7.963 2.911
"88" "0" 6.757 2.976
"89" "0" 8.093 4.096
"90" "0" 8.006 4.412
"91" "0" 8.804 5.404
"92" "0" 7.93 4.159
"93" "0" 10.3 4.417
"94" "0" 6.993 4.483
"95" "0" 7.85 5.34
"96" "0" 10.189 5.457
"97" "0" 8.744 3.848
"98" "0" 7.881 6.133
"99" "0" 9.681 2.336
"100" "0" 8.649 5.005
"101" "0" 8.047 3.731
"102" "0" 10.135 4.677
"103" "0" 9.377 3.477
"104" "0" 8.202 3.691
"105" "0" 10.855 5.22
"106" "0" 9.872 4.766
"107" "0" 8.049 4.203
"108" "0" 6.144 7.443
"109" "0" 6.259 4.753
"110" "0" 8.408 3.16
"111" "0" 8.128 3.008
"112" "0" 9.452 3.793
"113" "0" 7.267 4.631
"114" "0" 6.819 4.476
"115" "0" 7.909 5.18
"116" "0" 7.68 3.809
"117" "0" 7.647 3.844
"118" "0" 8.539 4.664
"119" "0" 7.364 3.473
"120" "0" 6.415 3.271
"121" "0" 6.487 4.02
"122" "0" 7.313 4.149
"123" "0" 9.447 3.679
"124" "0" 8.017 3.513
"125" "0" 7.451 2.855
"126" "0" 9.178 2.217
"127" "0" 7.638 4.298
"128" "100" 1.971 0.425
"129" "100" 2.058 0.625
